iter	Passed	Remaining
687	5513	34554
688	5518	34531
689	5529	34538
690	5554	34639
691	5564	34644
692	5573	34640
693	5582	34639
694	5588	34616
695	5597	34616
696	5608	34622
697	5617	34620
698	5625	34616
699	5629	34578
700	5641	34596
701	5651	34599
702	5660	34599
703	5666	34579
704	5675	34578
705	5678	34535
706	5683	34512
707	5693	34512
708	5700	34500
709	5702	34457
710	5708	34436
711	5720	34453
712	5732	34468
713	5743	34477
714	5746	34437
715	5749	34401
716	5760	34408
717	5768	34401
718	5771	34362
719	5778	34348
720	5784	34328
721	5787	34291
722	5798	34299
723	5804	34280
724	5814	34283
725	5841	34388
726	5852	34397
727	5859	34383
728	5865	34364
729	5868	34325
730	5874	34307
731	5887	34325
732	5898	34335
733	5903	34311
734	5909	34291
735	5914	34268
736	5922	34257
737	5932	34258
738	5942	34263
739	5950	34255
740	5961	34265
741	5968	34250
742	5976	34243
743	5991	34275
744	6006	34306
745	6013	34292
746	6016	34254
747	6027	34264
748	6031	34232
749	6038	34218
750	6047	34214
751	6060	34235
752	6065	34209
753	6074	34208
754	6104	34320
755	6116	34336
756	6126	34341
757	6139	34360
758	6149	34358
759	6158	34356
760	6169	34363
761	6178	34364
762	6181	34326
763	6187	34305
764	6193	34287
765	6203	34287
766	6212	34286
767	6221	34281
768	6230	34279
769	6239	34274
770	6248	34271
771	6256	34266
772	6262	34246
773	6264	34206
774	6270	34185
775	6281	34190
776	6290	34186
777	6300	34189
778	6305	34166
779	6311	34145
780	6320	34141
781	6329	34142
782	6338	34137
783	6349	34145
784	6361	34156
785	6370	34154
786	6380	34156
787	6386	34137
788	6395	34131
789	6404	34132
790	6415	34136
791	6421	34117
792	6430	34113
793	6439	34110
794	6444	34087
795	6450	34068
796	6459	34063
797	6465	34043
798	6473	34039
799	6476	34002
800	6485	33997
801	6494	33994
802	6500	33974
803	6509	33974
804	6543	34097
805	6556	34114
806	6568	34126
807	6574	34107
808	6583	34104
809	6585	34067
810	6587	34028
811	6597	34027
812	6606	34022
813	6612	34003
814	6617	33981
815	6626	33978
816	6632	33956
817	6634	33919
818	6640	33898
819	6649	33894
820	6658	33892
821	6663	33870
822	6669	33851
823	6675	33830
824	6680	33808
825	6690	33807
826	6698	33802
827	6708	33800
828	6717	33796
829	6724	33786
830	6739	33812
831	6748	33805
832	6754	33790
833	6769	33815
834	6782	33830
835	6794	33841
836	6801	33828
837	6813	33841
838	6819	33823
839	6828	33817
840	6838	33818
841	6850	33830
842	6863	33844
843	6874	33850
844	6884	33853
845	6895	33859
846	6902	33842
847	6914	33857
848	6927	33868
849	6938	33876
850	6948	33878
851	6960	33887
852	6982	33945
853	6994	33955
854	7005	33960
855	7012	33950
856	7028	33979
857	7043	34000
858	7056	34018
859	7067	34021
860	7072	34000
861	7082	34001
862	7094	34008
863	7101	33994
864	7111	33996
865	7122	34000
866	7128	33983
867	7138	33980
868	7143	33959
869	7149	33940
870	7158	33934
871	7165	33918
872	7171	33901
873	7181	33901
874	7190	33897
875	7196	33877
876	7201	33856
877	7207	33835
878	7212	33816
879	7218	33795
880	7227	33791
881	7236	33785
882	7245	33782
883	7255	33783
884	7268	33794
885	7277	33794
886	7288	33796
887	7297	33791
888	7304	33777
889	7310	33757
890	7318	33752
891	7325	33735
892	7334	33730
893	7336	33697
894	7345	33692
895	7352	33677
896	7362	33678
897	7369	33661
898	7374	33641
899	7384	33639
900	7393	33635
901	7400	33622
902	7407	33609
903	7413	33592
904	7420	33574
905	7425	33553
906	7432	33540
907	7434	33504
908	7444	33502
909	7457	33515
910	7465	33506
911	7471	33490
912	7477	33472
913	7487	33472
914	7496	33469
915	7506	33467
916	7512	33451
917	7516	33420
918	7556	33555
919	7560	33530
920	7568	33519
921	7571	33487
922	7578	33473
923	7580	33438
924	7589	33435
925	7598	33431
926	7604	33413
927	7610	33395
928	7620	33396
929	7631	33397
930	7637	33379
931	7647	33380
932	7655	33371
933	7665	33368
934	7675	33369
935	7684	33365
936	7694	33363
937	7700	33345
938	7709	33343
939	7715	33322
940	7724	33320
941	7735	33322
942	7757	33373
943	7773	33399
944	7783	33399
945	7798	33417
946	7812	33437
947	7826	33453
948	7838	33462
949	7840	33427
950	7852	33432
951	7862	33432
952	7870	33421
953	7881	33427
954	7891	33424
955	7902	33427
956	7908	33412
957	7919	33414
958	7930	33417
959	7936	33399
960	7947	33402
961	7953	33383
962	7964	33386
963	7975	33389
964	7988	33401
965	7995	33387
966	8005	33389
967	8016	33391
968	8019	33361
969	8030	33362
970	8036	33346
971	8042	33328
972	8051	33322
973	8059	33314
974	8069	33312
975	8079	33312
976	8086	33299
977	8096	33297
978	8102	33281
979	8108	33263
980	8117	33256
981	8127	33253
982	8132	33234
983	8139	33219
984	8148	33212
985	8153	33194
986	8160	33180
987	8168	33170
988	8177	33165
989	8184	33149
990	8193	33145
991	8199	33129
992	8209	33126
993	8220	33129
994	8230	33129
995	8239	33122
996	8246	33109
997	8251	33089
998	8261	33085
999	8267	33070
1000	8276	33065
1001	8285	33059
1002	8294	33055
1003	8303	33048
1004	8312	33043
1005	8318	33023
1006	8327	33018
1007	8332	32999
1008	8340	32988
1009	8348	32978
1010	8358	32978
1011	8363	32959
1012	8373	32956
1013	8375	32923
1014	8384	32920
1015	8393	32914
1016	8399	32897
1017	8408	32890
1018	8414	32873
1019	8420	32855
1020	8429	32852
1021	8438	32846
1022	8444	32829
1023	8446	32797
1024	8456	32793
1025	8464	32786
1026	8470	32769
1027	8472	32737
1028	8478	32719
1029	8487	32713
1030	8493	32696
1031	8498	32677
1032	8507	32670
1033	8517	32669
1034	8563	32807
1035	8577	32820
1036	8584	32805
1037	8592	32796
1038	8595	32767
1039	8601	32750
1040	8609	32744
1041	8619	32739
1042	8627	32732
1043	8636	32727
1044	8642	32709
1045	8651	32704
1046	8656	32684
1047	8662	32667
1048	8671	32661
1049	8680	32656
1050	8686	32637
1051	8695	32632
1052	8703	32623
1053	8715	32628
1054	8717	32597
1055	8723	32579
1056	8733	32577
1057	8743	32575
1058	8751	32569
1059	8758	32554
1060	8766	32547
1061	8778	32552
1062	8789	32554
1063	8802	32562
1064	8821	32594
1065	8832	32596
1066	8842	32595
1067	8849	32581
1068	8855	32562
1069	8860	32544
1070	8869	32538
1071	8878	32532
1072	8885	32521
1073	8896	32521
1074	8898	32490
1075	8908	32487
1076	8917	32483
1077	8927	32479
1078	8937	32476
1079	8946	32474
1080	8955	32468
1081	8965	32463
1082	8974	32459
1083	8988	32471
1084	8999	32471
1085	9006	32459
1086	9013	32445
1087	9024	32447
1088	9035	32449
1089	9043	32439
1090	9045	32409
1091	9053	32399
1092	9060	32385
1093	9067	32373
1094	9080	32383
1095	9091	32385
1096	9101	32381
1097	9107	32365
1098	9118	32367
1099	9125	32354
1100	9134	32348
1101	9143	32343
1102	9152	32336
1103	9158	32319
1104	9167	32313
1105	9176	32308
1106	9184	32300
1107	9190	32283
1108	9201	32283
1109	9212	32284
1110	9220	32277
1111	9230	32272
1112	9238	32265
1113	9245	32252
1114	9257	32255
1115	9266	32249
1116	9275	32245
1117	9285	32240
1118	9294	32237
1119	9304	32232
1120	9313	32225
1121	9319	32209
1122	9324	32192
1123	9333	32185
1124	9339	32169
1125	9348	32162
1126	9357	32156
1127	9366	32150
1128	9375	32145
1129	9384	32138
1130	9393	32133
1131	9402	32127
1132	9411	32122
1133	9420	32115
1134	9431	32117
1135	9434	32090
1136	9445	32090
1137	9451	32076
1138	9461	32071
1139	9467	32058
1140	9471	32032
1141	9476	32015
1142	9487	32014
1143	9493	31998
1144	9504	32000
1145	9511	31986
1146	9517	31972
1147	9523	31955
1148	9533	31954
1149	9560	32008
1150	9579	32033
1151	9582	32007
1152	9593	32010
1153	9601	31998
1154	9612	31999
1155	9622	31998
1156	9632	31995
1157	9635	31967
1158	9640	31950
1159	9650	31946
1160	9668	31970
1161	9677	31964
1162	9686	31957
1163	9695	31953
1164	9704	31946
1165	9711	31931
1166	9716	31914
1167	9722	31898
1168	9731	31891
1169	9737	31874
1170	9746	31871
1171	9756	31865
1172	9764	31858
1173	9773	31852
1174	9775	31823
1175	9782	31810
1176	9795	31815
1177	9809	31826
1178	9820	31827
1179	9829	31821
1180	9836	31808
1181	9848	31811
1182	9859	31810
1183	9864	31792
1184	9873	31787
1185	9875	31758
1186	9881	31740
1187	9886	31724
1188	9896	31719
1189	9905	31713
1190	9914	31709
1191	9924	31703
1192	9932	31696
1193	9941	31690
1194	9951	31686
1195	9960	31681
1196	9980	31710
1197	9995	31721
1198	10015	31750
1199	10023	31740
1200	10034	31739
1201	10040	31726
1202	10047	31711
1203	10053	31696
1204	10065	31699
1205	10071	31684
1206	10083	31686
1207	10088	31669
1208	10098	31665
1209	10108	31663
1210	10114	31647
1211	10123	31641
1212	10133	31635
1213	10141	31628
1214	10152	31627
1215	10164	31630
1216	10172	31619
1217	10177	31603
1218	10183	31586
1219	10193	31582
1220	10198	31565
1221	10201	31539
1222	10211	31534
1223	10220	31528
1224	10222	31500
1225	10231	31495
1226	10240	31488
1227	10249	31482
1228	10258	31475
1229	10267	31469
1230	10272	31452
1231	10281	31446
1232	10287	31428
1233	10293	31412
1234	10301	31405
1235	10310	31399
1236	10319	31392
1237	10325	31376
1238	10336	31375
1239	10348	31378
1240	10357	31372
1241	10363	31356
1242	10369	31341
1243	10379	31337
1244	10387	31330
1245	10397	31325
1246	10402	31308
1247	10411	31302
1248	10417	31285
1249	10423	31270
1250	10431	31262
1251	10435	31239
1252	10443	31231
1253	10449	31216
1254	10459	31213
1255	10471	31213
1256	10479	31205
1257	10488	31199
1258	10497	31192
1259	10503	31176
1260	10508	31160
1261	10517	31152
1262	10530	31156
1263	10536	31143
1264	10544	31132
1265	10546	31106
1266	10592	31209
1267	10605	31213
1268	10618	31220
1269	10621	31194
1270	10628	31181
1271	10638	31178
1272	10647	31174
1273	10653	31157
1274	10662	31150
1275	10671	31144
1276	10680	31138
1277	10689	31131
1278	10698	31124
1279	10709	31123
1280	10719	31120
1281	10728	31113
1282	10738	31110
1283	10747	31104
1284	10757	31099
1285	10766	31093
1286	10775	31086
1287	10780	31070
1288	10790	31064
1289	10800	31060
1290	10811	31061
1291	10822	31061
1292	10835	31066
1293	10847	31068
1294	10858	31067
1295	10871	31070
1296	10880	31064
1297	10886	31050
1298	10899	31053
1299	10904	31037
1300	10911	31024
1301	10918	31010
1302	10929	31010
1303	10935	30995
1304	10947	30995
1305	10956	30991
1306	10967	30987
1307	10976	30981
1308	10990	30988
1309	10996	30974
1310	11007	30973
1311	11019	30974
1312	11027	30967
1313	11038	30964
1314	11045	30951
1315	11055	30949
1316	11068	30951
1317	11079	30952
1318	11090	30949
1319	11106	30963
1320	11119	30968
1321	11131	30970
1322	11139	30960
1323	11147	30949
1324	11158	30948
1325	11168	30943
1326	11177	30937
1327	11186	30930
1328	11195	30923
1329	11203	30915
1330	11206	30890
1331	11215	30884
1332	11221	30869
1333	11230	30861
1334	11239	30854
1335	11246	30843
1336	11253	30831
1337	11256	30808
1338	11263	30795
1339	11268	30778
1340	11278	30774
1341	11288	30771
1342	11298	30764
1343	11306	30757
1344	11315	30750
1345	11324	30742
1346	11334	30738
1347	11336	30712
1348	11342	30696
1349	11350	30689
1350	11360	30683
1351	11369	30676
1352	11378	30670
1353	11387	30663
1354	11396	30657
1355	11405	30649
1356	11414	30643
1357	11423	30637
1358	11431	30627
1359	11442	30626
1360	11452	30620
1361	11458	30606
1362	11467	30600
1363	11476	30593
1364	11486	30587
1365	11494	30580
1366	11504	30574
1367	11513	30566
1368	11522	30561
1369	11532	30557
1370	11542	30551
1371	11551	30545
1372	11561	30540
1373	11570	30535
1374	11753	30986
1375	11767	30991
1376	11780	30995
1377	11787	30984
1378	11801	30987
1379	11810	30981
1380	11817	30968
1381	11827	30964
1382	11841	30968
1383	11852	30966
1384	11864	30968
1385	11872	30956
1386	11883	30954
1387	11893	30951
1388	11899	30936
1389	11908	30928
1390	11914	30912
1391	11922	30903
1392	11934	30901
1393	11943	30895
1394	11950	30883
1395	11956	30867
1396	11968	30866
1397	11978	30862
1398	11984	30847
1399	11993	30839
1400	12002	30832
1401	12011	30825
1402	12018	30813
1403	12024	30797
1404	12035	30795
1405	12041	30781
1406	12053	30780
1407	12060	30767
1408	12071	30764
1409	12082	30762
1410	12093	30760
1411	12103	30755
1412	12115	30757
1413	12123	30746
1414	12137	30751
1415	12148	30747
1416	12155	30737
1417	12166	30734
1418	12178	30732
1419	12191	30735
1420	12198	30724
1421	12202	30702
1422	12204	30679
1423	12211	30665
1424	12222	30664
1425	12232	30658
1426	12240	30647
1427	12250	30643
1428	12254	30622
1429	12264	30617
1430	12273	30611
1431	12283	30604
1432	12294	30602
1433	12303	30596
1434	12313	30590
1435	12322	30582
1436	12332	30577
1437	12341	30569
1438	12350	30562
1439	12359	30554
1440	12368	30547
1441	12376	30538
1442	12385	30531
1443	12392	30518
1444	12402	30511
1445	12410	30503
1446	12420	30496
1447	12429	30488
1448	12434	30473
1449	12443	30465
1450	12452	30458
1451	12461	30450
1452	12471	30443
1453	12482	30441
1454	12492	30436
1455	12498	30421
1456	12507	30415
1457	12516	30407
1458	12525	30400
1459	12531	30385
1460	12541	30379
1461	12547	30363
1462	12552	30348
1463	12558	30332
1464	12563	30316
